id;title;date;generico_cosmico;generico_terrestre;inventato;no_ambientazione;nominato_cosmico;nominato_terrestre;pct_nebbia_normalizzata;pct_cancellazione_normalizzata;pct_nebbia;pct_cancellazione;norma_pct_caratteri_nebbia_cancellazione;nebbia_words_ratio;cancellazione_words_ratio;dubitative_ratio;n_lists_f;n_lists_m;n_lists_p;n_lists_s;text_length;n_generico_cosmico;n_generico_terrestre;n_inventato;n_no_ambientazione;n_nominato_cosmico;n_nominato_terrestre
S139;Il sangue, il mare;15/07/1967;0;0.714;0;0;0;0.286;0;0;0;0;0;0;0;0;181;0;111;152;21043;0;5;0;0;0;2
S140;Il guidatore notturno;30/07/1967;0;0.6;0.4;0;0;0;0;0;0;0;0;0;0;0;907;0;0;493;14578;0;3;2;0;0;0
S141;La molle Luna;28/10/1967;0;0;0;0;1;0;0;0.09;0;100;0.09;0;0.03;0.02;0;57;453;508;16603;0;0;0;0;10;0
S142;II. Meiosi;28/10/1967;0;0.167;0;0;0.833;0;0;0.09;0;100;0.09;0;0.03;0.02;1492;112;0;768;18954;0;1;0;0;5;0
S143;III. Morte;28/10/1967;0;1;0;0;0;0;0;0;0;0;0;0;0;0;752;87;112;0;9299;0;6;0;0;0;0
S144;Il conte di Montecristo;28/10/1967;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2043;110;109;124;22375;0;0;0;0;0;2
S145;Le figlie della Luna;01/05/1968;0;0;0;0;1;0;0;0.07;0;100;0.07;0;0.03;0.02;475;0;32;193;23452;0;0;0;0;15;0
S146;Il cielo di pietra;01/11/1968;0;0;0;0;1;0;0;0;0;0;0;0;0;0;256;0;0;504;13895;0;0;0;0;7;0
S147;Tempesta solare;01/11/1968;0;0;0;0;1;0;0;0;0;0;0;0;0;0;785;94;0;583;18603;0;0;0;0;5;0
S148;Le conchiglie e il tempo;01/11/1968;0;0;0;0;1;0;0;0;0;0;0;0;0;0;128;114;69;837;7831;0;0;0;0;1;0
S149;La decapitazione dei capi;01/08/1969;0;0.5;0;0;0;0.5;0;0;0;0;0;0;0;0;239;0;37;297;25519;0;3;0;0;0;3
S150;Dall'opaco;01/06/1971;0;1;0;0;0;0;0.16;0.08;75;25;0.21;0.18;0.03;0.09;1078;100;137;909;22085;0;2;0;0;0;0
S151;Il nome, il naso;01/11/1972;0;0.222;0;0;0;0.778;0.25;0.06;83;17.07;0.27;0.29;0.03;0.14;2681;78;474;315;25010;0;4;0;0;0;14
S152;La taverna dei destini incrociati;27/10/1973;0;1;0;0;0;0;0;0.04;0;100;0.04;0;0.06;0.05;6399;973;806;2156;98779;0;1;0;0;0;0
S153;Ricordo di una battaglia;25/04/1974;1;0;0;0;0;0;0;0.2;0;100;0.2;0;0.06;0.05;328;136;0;279;15654;1;0;0;0;0;0
S154;Autobiografia di uno spettatore;28/09/1974;0;0;0;0;0;1;;;;;;0;0;0;573;123;172;806;44046;0;0;0;0;0;5
S155;La pompa di benzina;21/12/1974;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1025;0;58;0;12331;0;4;0;0;0;0
