id	Fonte	Titolo Fonte	year	Occorrenza	Parte di	Parte di ID	nominato/Generico	Scala	Luogo desunto	I	C	F	Localizzabile	Terrestre	Inventato	Categoria	Start	End	Nota
L00189	S039	La stessa cosa del sangue	1949	burrone	Rocche del Corvo	L00188	generico						sì	sì	-	generico_terrestre	12737	12744
L00190	S039	La stessa cosa del sangue	1949	Liguria			nominato	regione (territorio)					sì	sì	no	nominato_terrestre	-	-
L00191	S040	Attesa della morte in un albergo	1949	albergo-caserma			generico			x			no	sì	-	generico_terrestre	381	388
L00192	S040	Attesa della morte in un albergo	1949	stanze	albergo-caserma	L00191	generico						no	sì	-	generico_terrestre	1929	1935
L00193	S040	Attesa della morte in un albergo	1949	fortezza	porto	L00194	generico						no	sì	-	generico_terrestre	3304	3312
L00194	S040	Attesa della morte in un albergo	1949	porto			generico						no	sì	-	generico_terrestre	3317	3322
L00195	S040	Attesa della morte in un albergo	1949	cella	fortezza	L00193	generico						no	sì	-	generico_terrestre	3377	3382
L00196	S040	Attesa della morte in un albergo	1949	corridoio	albergo-caserma	L00191	generico						no	sì	-	generico_terrestre	8246	8255
L00197	S040	Attesa della morte in un albergo	1949	torpedoni			generico					x	no	sì	-	generico_terrestre	14527	14536
L00198	S041	Uno dei tre è ancora vivo	1949	Culdistrega			nominato	landmark			x		no	sì	sì	inventato	3296	3307
L00199	S041	Uno dei tre è ancora vivo	1949	rifugio	Culdistrega	L00198	generico						no	sì	-	generico_terrestre	8282	8289
L00200	S041	Uno dei tre è ancora vivo	1949	precipizio	Culdistrega	L00198	generico						no	sì	-	generico_terrestre	8416	8426
L00201	S041	Uno dei tre è ancora vivo	1949	torrente	vallata	L00202	generico						no	sì	-	generico_terrestre	14137	14145
L00202	S041	Uno dei tre è ancora vivo	1949	vallata			generico						no	sì	-	generico_terrestre	14627	14634
L00203	S041	Uno dei tre è ancora vivo	1949	tetto	vallata	L00202	generico						no	sì	-	generico_terrestre	14756	14761
L00204	S042	L'avventura di un soldato	1949	scompartimento			generico			x		x	no	sì	-	generico_terrestre	32	46
L00205	S042	L'avventura di un soldato	1949	galleria			generico				x		no	sì	-	generico_terrestre	15386	15394
L00206	S043	Desiderio in novembre	1949	città			generico			x		x	no	sì	-	generico_terrestre	45	50
L00207	S043	Desiderio in novembre	1949	vie	città	L00206	generico						no	sì	-	generico_terrestre	172	175
L00208	S043	Desiderio in novembre	1949	giardini	città	L00206	generico						no	sì	-	generico_terrestre	714	722
L00209	S043	Desiderio in novembre	1949	casa (Don Grillo)	città	L00206	generico						no	sì	-	generico_terrestre	1087	1091
L00210	S043	Desiderio in novembre	1949	scale	casa (Don Grillo)	L00209	generico						no	sì	-	generico_terrestre	1158	1163
L00211	S043	Desiderio in novembre	1949	appartamento	casa (Don Grillo)	L00209	generico						no	sì	-	generico_terrestre	6494	6506
L00212	S043	Desiderio in novembre	1949	stanza	pellicceria	L00214	generico				x		no	sì	-	generico_terrestre	9462	9468
L00213	S043	Desiderio in novembre	1949	magazzino	pellicceria	L00214	generico						no	sì	-	generico_terrestre	10005	10014
L00214	S043	Desiderio in novembre	1949	pellicceria	città	L00206	generico						no	sì	-	generico_terrestre	11663	11674
L00215	S043	Desiderio in novembre	1949	laboratorio	pellicceria	L00214	generico						no	sì	-	generico_terrestre	12137	12148
L00216	S044	Lettera ad Amelia sui dischi volanti	1950	treno			generico						no	sì	-	generico_terrestre	3579	3584
L00217	S044	Lettera ad Amelia sui dischi volanti	1950	scompartimento	treno	L00216	generico						no	sì	-	generico_terrestre	3604	3618
L00218	S045	Storia del soldato che portò il cannone a casa	1950	campagna			generico			x			no	sì	-	generico_terrestre	118	126
L00219	S045	Storia del soldato che portò il cannone a casa	1950	valle			generico						no	sì	-	generico_terrestre	893	898
L00220	S045	Storia del soldato che portò il cannone a casa	1950	aia	casa	L00223	generico				x		no	sì	-	generico_terrestre	4384	4387
L00221	S045	Storia del soldato che portò il cannone a casa	1950	caserma			generico						no	sì	-	generico_terrestre	6081	6088
L00222	S045	Storia del soldato che portò il cannone a casa	1950	ufficio	caserma	L00221	generico						no	sì	-	generico_terrestre	6354	6361
L00223	S045	Storia del soldato che portò il cannone a casa	1950	casa	campagna	L00218	generico					x	no	sì	-	generico_terrestre	6597	6601
L00224	S045	Storia del soldato che portò il cannone a casa	1950	fienile	casa	L00223	generico						no	sì	-	generico_terrestre	6670	6677
L00225	S045	Storia del soldato che portò il cannone a casa	1950	campi	campagna	L00218	generico						no	sì	-	generico_terrestre	8258	8263
